Horizon,Version,F1_Selected,F1_AllFeatures,Diff_F1 (%),Precision_Selected,Precision_AllFeatures,Diff_Precision (%),Recall_Selected,Recall_AllFeatures,Diff_Recall (%),FAR_Selected,FAR_AllFeatures,Diff_FAR (%),MAE_Selected,MAE_AllFeatures,Diff_MAE (degC),RMSE_Selected,RMSE_AllFeatures,Diff_RMSE (degC)
5 Min,First-Cut Baseline,0.8806999999999999,0.9078,2.7100000000000124,0.8528,0.9068,5.400000000000005,0.9104000000000001,0.9087000000000001,-0.17000000000000348,0.002114,0.001255,-0.08589999999999999,0.1493,0.1347,-0.014600000000000002,0.2745,0.272,-0.0025000000000000022
5 Min,Tuned Model,0.8837999999999999,0.9111,2.73000000000001,0.8593000000000001,0.9184,5.909999999999993,0.9097,0.9039,-0.5799999999999916,0.002003,0.00108,-0.0923,0.1497,0.1349,-0.014800000000000008,0.2801,0.273,-0.007099999999999995
15 Min,First-Cut Baseline,0.8515,0.8695999999999999,1.8099999999999894,0.8339,0.8859999999999999,5.209999999999992,0.8698999999999999,0.8538,-1.6099999999999892,0.002331,0.001477,-0.08540000000000002,0.2452,0.2301,-0.015100000000000002,0.4369,0.4202,-0.016699999999999993
15 Min,Tuned Model,0.8519,0.8695,1.760000000000006,0.8331000000000001,0.8865999999999999,5.349999999999988,0.8717,0.8531,-1.860000000000006,0.002349,0.0014680000000000001,-0.08809999999999998,0.2456,0.2292,-0.016400000000000026,0.4332,0.4204,-0.012799999999999978
30 Min,First-Cut Baseline,0.8162999999999999,0.8421,2.5800000000000045,0.7963,0.8545,5.820000000000003,0.8373,0.8301000000000001,-0.7199999999999984,0.0028799999999999997,0.001902,-0.09779999999999997,0.3333,0.3126,-0.020699999999999996,0.5627,0.5458,-0.016900000000000026
30 Min,Tuned Model,0.8137000000000001,0.8427,2.8999999999999915,0.8012999999999999,0.8586,5.730000000000013,0.8264,0.8273999999999999,0.09999999999998899,0.002755,0.001832,-0.0923,0.3362,0.3121,-0.02410000000000001,0.5674,0.5419,-0.025499999999999967
60 Min,First-Cut Baseline,0.7323999999999999,0.7247,-0.7699999999999929,0.7318000000000001,0.7547,2.289999999999992,0.733,0.6970000000000001,-3.599999999999992,0.003614,0.0030470000000000002,-0.05669999999999998,0.442,0.4261,-0.015900000000000025,0.6867,0.6716,-0.015100000000000002
60 Min,Tuned Model,0.7315,0.7273999999999999,-0.41000000000001036,0.7386,0.7415,0.29000000000000137,0.7243999999999999,0.7138,-1.0599999999999943,0.003448,0.003347,-0.010099999999999996,0.4435,0.4196,-0.023900000000000032,0.6873,0.673,-0.01429999999999998
