Variable_1,Variable_2,Pearson_r,Spearman_rho,Distance_Corr,Pearson_Spearman_Gap,Involves_Target
03PI_1409.PV,03TI_1024.PV,-0.1548,-0.101,0.1815,0.0538,False
03FIC_1085.PV,03TIC_1023.PV,0.3635,0.4172,0.43,0.0537,True
03PDI_1077.PV,03TI_1024.PV,0.0192,-0.0337,0.1395,0.0529,False
03PDI_1077.PV,03TI_1005.PV,-0.193,-0.2457,0.207,0.0527,False
03PIC_1013.PV,03TI_1108.PV,0.5344,0.4817,0.5154,0.0527,False
03LIC_1016.PV,03PIC_1023.PV,-0.0705,-0.123,0.1292,0.0525,False
03PDI_1020.PV,03TI_1015.PV,0.1837,0.2337,0.2013,0.05,False
03PDI_1020.PV,03TI_1024.PV,0.149,0.1987,0.1689,0.0497,False
03PI_1409.PV,03TI_1015.PV,-0.1472,-0.1003,0.172,0.0469,False
03PIC_1013.PV,03TI_1005.PV,0.4281,0.3817,0.4663,0.0464,False
03PIC_1013.PV,03TIC_1009.PV,0.5347,0.4885,0.528,0.0462,False
03FIC_1085.PV,03PI_1409.PV,-0.2857,-0.3316,0.3205,0.0459,False
03PIC_1023.PV,03PI_1409.PV,-0.1534,-0.1083,0.1842,0.0451,False
02FI_1000.PV,03PIC_1023.PV,0.089,0.0443,0.1187,0.0447,False
03PIC_1013.PV,03PI_1409.PV,-0.2115,-0.2545,0.2622,0.043,False
03PIC_1023.PV,03TIC_1023.PV,0.9654,0.924,0.9365,0.0414,True
03LIC_1016.PV,03TIC_1145.PV,-0.0835,-0.0438,0.1193,0.0397,False
03FIC_1085.PV,03TIC_1009.PV,0.4692,0.5081,0.5114,0.0389,False
03LIC_1016.PV,03TIC_1023.PV,-0.0625,-0.1,0.1395,0.0375,True
03LIC_1034.PV,03PIC_1013.PV,0.0881,0.0517,0.0792,0.0364,False
03PIC_1013.PV,03TIC_1023.PV,0.5675,0.6,0.6025,0.0325,True
02FI_1000.PV,03TI_1108.PV,0.1756,0.1433,0.1936,0.0323,False
03PI_1409.PV,03TIC_1023.PV,-0.1953,-0.1632,0.2204,0.0321,True
03FIC_1085.PV,03PDI_1077.PV,0.1141,0.0822,0.2546,0.0319,False
03LIC_1016.PV,03TI_1015.PV,-0.0609,-0.0926,0.1233,0.0317,False
02FI_1000.PV,03TI_1081.PV,0.3653,0.3967,0.4992,0.0314,False
03LIC_1034.PV,03PDI_1077.PV,0.154,0.1229,0.1345,0.0311,False
02FI_1000.PV,03TIC_1009.PV,0.1687,0.138,0.2092,0.0307,False
03LIC_1016.PV,03TI_1024.PV,-0.065,-0.0939,0.1256,0.0289,False
03PIC_1013.PV,03TI_1002.PV,0.3587,0.3304,0.4062,0.0283,False
03LIC_1034.PV,03TI_1081.PV,0.0905,0.0628,0.0933,0.0277,False
03TIC_1023.PV,03TI_1024.PV,0.984,0.9568,0.9661,0.0272,True
03PIC_1013.PV,03TIC_1145.PV,-0.2918,-0.2647,0.2918,0.0271,False
03PDI_1020.PV,03PIC_1013.PV,0.4326,0.4056,0.4388,0.027,False
03TIC_1023.PV,03TI_1015.PV,0.9804,0.9537,0.9628,0.0267,True
03LIC_1016.PV,03TI_1081.PV,0.0693,0.0948,0.1385,0.0255,False
03PIC_1023.PV,03PIC_1068.PV,-0.1681,-0.1439,0.1691,0.0242,False
03LIC_1016.PV,03PDI_1077.PV,0.1421,0.1182,0.1794,0.0239,False
03PI_1409.PV,03TI_1108.PV,-0.2745,-0.2515,0.2775,0.023,False
03LIC_1034.PV,03TI_1108.PV,0.0307,0.008,0.034,0.0227,False
03PIC_1013.PV,03PIC_1023.PV,0.5194,0.5415,0.5552,0.0221,False
03LIC_1016.PV,03PDI_1020.PV,0.2158,0.1939,0.2276,0.0219,False
03LIC_1034.PV,03TIC_1009.PV,0.0258,0.0043,0.0316,0.0215,False
03PDI_1020.PV,03PIC_1023.PV,0.1441,0.1654,0.1547,0.0213,False
