Parameter,Start_Timestamp,End_Timestamp,Duration_Records,Duration_Minutes
02FI_1000.PV,2022-01-06 10:26:00,2022-01-06 10:26:00,1,0.0
02FI_1000.PV,2022-01-22 06:03:00,2022-01-22 06:03:00,1,0.0
02FI_1000.PV,2022-01-24 06:58:00,2022-01-24 06:58:00,1,0.0
02FI_1000.PV,2022-02-02 05:51:00,2022-02-02 05:51:00,1,0.0
02FI_1000.PV,2022-02-02 15:16:00,2022-02-02 15:16:00,1,0.0
02FI_1000.PV,2022-02-04 09:25:00,2022-02-04 09:25:00,1,0.0
02FI_1000.PV,2022-02-04 23:46:00,2022-02-04 23:46:00,1,0.0
02FI_1000.PV,2022-02-18 08:36:00,2022-02-18 08:36:00,1,0.0
02FI_1000.PV,2022-02-27 15:34:00,2022-02-27 15:34:00,1,0.0
02FI_1000.PV,2022-03-12 20:56:00,2022-03-12 20:56:00,1,0.0
02FI_1000.PV,2022-03-13 12:14:00,2022-03-13 12:14:00,1,0.0
02FI_1000.PV,2022-03-14 12:49:00,2022-03-14 12:49:00,1,0.0
02FI_1000.PV,2022-03-16 07:39:00,2022-03-16 07:39:00,1,0.0
02FI_1000.PV,2022-03-20 19:21:00,2022-03-20 19:21:00,1,0.0
02FI_1000.PV,2022-03-23 09:23:00,2022-03-23 09:23:00,1,0.0
02FI_1000.PV,2022-03-30 03:42:00,2022-03-30 03:42:00,1,0.0
02FI_1000.PV,2022-04-01 08:39:00,2022-04-01 09:05:00,27,26.0
02FI_1000.PV,2022-04-03 16:04:00,2022-04-03 17:29:00,86,85.0
02FI_1000.PV,2022-04-09 23:13:00,2022-04-09 23:13:00,1,0.0
02FI_1000.PV,2022-04-15 06:10:00,2022-04-15 06:10:00,1,0.0
02FI_1000.PV,2022-04-17 17:48:00,2022-04-17 17:48:00,1,0.0
02FI_1000.PV,2022-04-27 22:25:00,2022-04-27 22:25:00,1,0.0
02FI_1000.PV,2022-04-30 11:08:00,2022-04-30 11:08:00,1,0.0
02FI_1000.PV,2022-05-13 19:39:00,2022-05-13 20:40:00,62,61.0
02FI_1000.PV,2022-05-14 01:58:00,2022-05-14 01:58:00,1,0.0
02FI_1000.PV,2022-05-22 04:27:00,2022-05-22 04:27:00,1,0.0
02FI_1000.PV,2022-05-30 06:41:00,2022-05-30 06:41:00,1,0.0
02FI_1000.PV,2022-05-30 08:08:00,2022-05-30 08:08:00,1,0.0
02FI_1000.PV,2022-06-06 03:34:00,2022-06-06 03:34:00,1,0.0
02FI_1000.PV,2022-06-22 18:24:00,2022-06-22 18:48:00,25,24.0
02FI_1000.PV,2022-06-22 18:50:00,2022-06-22 18:53:00,4,3.0
02FI_1000.PV,2022-06-22 18:55:00,2022-06-22 19:19:00,25,24.0
02FI_1000.PV,2022-06-22 19:21:00,2022-06-22 19:42:00,22,21.0
02FI_1000.PV,2022-06-22 19:44:00,2022-06-22 20:08:00,25,24.0
02FI_1000.PV,2022-06-22 20:10:00,2022-06-22 20:39:00,30,29.0
02FI_1000.PV,2022-06-22 20:43:00,2022-06-22 20:47:00,5,4.0
02FI_1000.PV,2022-06-22 20:49:00,2022-06-22 20:50:00,2,1.0
02FI_1000.PV,2022-06-22 20:52:00,2022-06-22 20:52:00,1,0.0
02FI_1000.PV,2022-06-22 20:54:00,2022-06-22 20:55:00,2,1.0
02FI_1000.PV,2022-06-22 20:57:00,2022-06-22 20:57:00,1,0.0
02FI_1000.PV,2022-06-22 21:02:00,2022-06-22 21:02:00,1,0.0
02FI_1000.PV,2022-06-22 21:16:00,2022-06-22 21:18:00,3,2.0
02FI_1000.PV,2022-07-03 02:11:00,2022-07-03 02:11:00,1,0.0
02FI_1000.PV,2022-07-16 03:53:00,2022-07-16 03:53:00,1,0.0
02FI_1000.PV,2022-07-18 10:26:00,2022-07-18 10:26:00,1,0.0
02FI_1000.PV,2022-07-27 02:04:00,2022-07-27 02:04:00,1,0.0
02FI_1000.PV,2022-07-28 00:41:00,2022-07-28 00:41:00,1,0.0
02FI_1000.PV,2022-07-28 01:17:00,2022-07-28 01:17:00,1,0.0
02FI_1000.PV,2022-07-31 09:25:00,2022-07-31 09:25:00,1,0.0
02FI_1000.PV,2022-08-02 10:50:00,2022-08-02 10:50:00,1,0.0
02FI_1000.PV,2022-08-04 19:13:00,2022-08-04 19:13:00,1,0.0
02FI_1000.PV,2022-08-05 02:58:00,2022-08-05 02:58:00,1,0.0
02FI_1000.PV,2022-08-14 16:39:00,2022-08-14 16:39:00,1,0.0
02FI_1000.PV,2022-08-21 09:32:00,2022-08-21 09:32:00,1,0.0
02FI_1000.PV,2022-08-24 12:45:00,2022-08-24 12:45:00,1,0.0
02FI_1000.PV,2022-08-25 04:47:00,2022-08-25 04:47:00,1,0.0
02FI_1000.PV,2022-08-28 22:44:00,2022-08-28 22:44:00,1,0.0
02FI_1000.PV,2022-08-29 12:07:00,2022-08-29 12:07:00,1,0.0
02FI_1000.PV,2022-09-08 19:41:00,2022-09-08 19:41:00,1,0.0
02FI_1000.PV,2022-09-11 00:12:00,2022-09-11 00:12:00,1,0.0
02FI_1000.PV,2022-09-17 15:57:00,2022-09-17 15:57:00,1,0.0
02FI_1000.PV,2022-09-17 18:51:00,2022-09-17 18:51:00,1,0.0
02FI_1000.PV,2022-09-18 18:14:00,2022-09-18 18:14:00,1,0.0
02FI_1000.PV,2022-09-22 14:27:00,2022-09-22 15:29:00,63,62.0
02FI_1000.PV,2022-09-22 16:50:00,2022-09-22 17:50:00,61,60.0
02FI_1000.PV,2022-10-07 01:25:00,2022-10-07 01:25:00,1,0.0
02FI_1000.PV,2022-10-09 19:03:00,2022-10-09 19:03:00,1,0.0
02FI_1000.PV,2022-10-12 11:36:00,2022-10-12 11:36:00,1,0.0
02FI_1000.PV,2022-10-14 12:28:00,2022-10-14 12:28:00,1,0.0
02FI_1000.PV,2022-10-15 04:20:00,2022-10-15 04:20:00,1,0.0
02FI_1000.PV,2022-10-25 06:45:00,2022-10-25 06:45:00,1,0.0
02FI_1000.PV,2022-10-26 18:22:00,2022-10-26 18:22:00,1,0.0
02FI_1000.PV,2022-10-28 01:34:00,2022-10-28 01:34:00,1,0.0
02FI_1000.PV,2022-11-16 01:25:00,2022-11-16 01:25:00,1,0.0
02FI_1000.PV,2022-11-16 09:26:00,2022-11-16 09:26:00,1,0.0
02FI_1000.PV,2022-11-18 18:51:00,2022-11-18 18:51:00,1,0.0
02FI_1000.PV,2022-12-04 02:42:00,2022-12-04 02:42:00,1,0.0
02FI_1000.PV,2022-12-19 05:04:00,2022-12-19 05:04:00,1,0.0
02FI_1000.PV,2022-12-29 11:03:00,2022-12-29 11:03:00,1,0.0
