Variable,Pearson_r,Spearman_rho,Distance_Corr,Avg_Abs_Corr
03TI_1024.PV,0.9839742908854107,0.9567964960591607,0.9660887126795276,0.9703853934722857
03TI_1015.PV,0.9804034553859822,0.95365557757543,0.9627855515000816,0.9670295164807061
03PIC_1023.PV,0.9653677492793823,0.9239978582312226,0.9365076743218193,0.9446828037553024
03TI_1081.PV,0.7287744422907855,0.6119071647192152,0.6697864407686173,0.6703408035050004
03PIC_1013.PV,0.5674723575459873,0.6000385966835927,0.6025363508308014,0.58375547711479
03TIC_1009.PV,0.5588480094860506,0.4211628480956981,0.5159020372066425,0.4900054287908744
03TI_1005.PV,0.5259670655340103,0.4449730538996487,0.5278275697608696,0.4854700597168295
03TI_1108.PV,0.5410598636450312,0.3909624151585934,0.48098838196545624,0.4660111394018123
03TI_1002.PV,0.4656715162997132,0.3951534719975058,0.4767883313229304,0.4304124941486095
03FIC_1085.PV,0.36350175444079164,0.41720392323510497,0.43000286377651786,0.3903528388379483
03PIC_1068.PV,-0.20481619438530116,-0.2120970055483488,0.2146227485717123,0.20845659996682497
03PDI_1020.PV,0.16940507937592758,0.24748379807314289,0.19865053023759066,0.20844443872453522
03PI_1409.PV,-0.19531272020102503,-0.16315339252871647,0.22035074001234445,0.17923305636487075
03TIC_1145.PV,-0.09096071452793285,-0.20978932534469338,0.2061143050615998,0.1503750199363131
02FI_1000.PV,0.10397175331012402,0.10725596166666422,0.14406065317004688,0.10561385748839412
03LIC_1016.PV,-0.0624706888220166,-0.10000146796113313,0.13945361020262365,0.08123607839157486
03PDI_1077.PV,0.011172683992130948,-0.06260443830117994,0.154663237195812,0.036888561146655445
03LIC_1034.PV,0.018559756303520383,0.002888924441086207,0.023750557273976323,0.010724340372303295
