Feature,Mean_Abs_SHAP
03PIC_1023.PV,0.9864027373348736
03TIC_1023.PV_lag_30,0.18426440438136232
hour,0.12798734819997773
03TI_1024.PV_roll_min_60,0.06405053587979175
03FIC_1085.PV,0.06305903698546161
month,0.057030651219873996
03TIC_1009.PV,0.055183885079470786
03TI_1002.PV,0.05122479522740788
03TIC_1023.PV_diff_30,0.045754557693389285
03PIC_1013.PV,0.02986492330854416
03TIC_1145.PV,0.026040905555361125
03TI_1081.PV_diff_5,0.022751471952707887
03TI_1081.PV_lag_60,0.021045425729246506
03TI_1081.PV_roll_max_60,0.017215149250893364
03TI_1024.PV_lag_60,0.010375470769245644
03TIC_1023.PV_diff_15,0.008658670102731265
03PIC_1023.PV_diff_30,0.008237163532348506
03PIC_1068.PV,0.007425854036287453
03TIC_1023.PV_roll_std_60,0.006853223621274375
03PIC_1023.PV_diff_5,0.0063817956123743145
03TI_1081.PV,0.006350339531246543
03TI_1081.PV_roll_std_10,0.005980822530950019
03PIC_1023.PV_diff_15,0.0054640724230358186
03TIC_1023.PV_roll_std_30,0.004539880086095774
03TIC_1023.PV_diff_5,0.003918563454934258
