Feature,Mean_Abs_SHAP
03PIC_1023.PV,0.91202856007966
hour,0.2561324389379915
03TIC_1023.PV_lag_30,0.15199997929857262
month,0.08500898193286122
03FIC_1085.PV,0.08387756988962194
03TIC_1009.PV,0.07131110530623432
03TI_1002.PV,0.06399419204015401
03PIC_1013.PV,0.05807297121912879
03TIC_1023.PV_diff_30,0.04695564805721649
03TI_1024.PV_roll_min_60,0.03892030654436076
03TIC_1145.PV,0.03741328152693789
03PDI_1077.PV,0.029302983224746254
03TI_1081.PV_roll_max_60,0.015385829724288565
03TI_1081.PV_diff_5,0.014247973204911012
03TI_1081.PV_lag_60,0.012570005312924192
03TI_1024.PV_lag_60,0.01254096006948027
03TI_1081.PV,0.010449286280148792
03TIC_1023.PV_diff_15,0.010181334639313859
02FI_1000.PV,0.009824769948244366
03PI_1409.PV,0.007932490461828976
03PIC_1023.PV_diff_15,0.006323968618692932
03PIC_1023.PV_diff_30,0.005919749067471394
03TI_1024.PV_diff_5,0.003911066738788364
03PIC_1068.PV,0.0038672070676522923
03TIC_1023.PV_diff_5,0.002499748720895284
