Feature,Mean_Abs_SHAP
03PIC_1023.PV,1.008165365852468
03TIC_1023.PV_lag_30,0.22206403502526825
03TI_1024.PV_roll_min_60,0.20017907072584126
03TIC_1023.PV_diff_30,0.07483727580933824
03TI_1002.PV,0.03352701771081944
03FIC_1085.PV,0.028377843782730047
hour,0.022365236497292093
03TIC_1145.PV,0.020537169468401867
03TIC_1023.PV_roll_std_30,0.01880559653920448
03PDI_1077.PV,0.016493773082121115
03PIC_1023.PV_diff_5,0.013752986288603069
03TI_1081.PV_diff_15,0.013395710739479977
03TI_1081.PV_diff_30,0.012258482344200914
month,0.010963494715284428
03TIC_1009.PV_diff_5,0.01037552029481918
03PI_1409.PV,0.010112013480490708
03TI_1081.PV_roll_max_60,0.009853963974469953
03PIC_1023.PV_diff_15,0.00774601300849622
03TI_1024.PV_diff_5,0.007274567654844384
03TIC_1009.PV,0.006999846490424925
03TI_1081.PV,0.006308399253269948
03TI_1081.PV_roll_std_10,0.005769509337105928
03TIC_1023.PV_diff_5,0.004614985567833299
03PIC_1023.PV_diff_30,0.0038429886770069695
03TI_1081.PV_lag_60,0.0038164877319184884
