index,02FI_1000.PV,03FIC_1085.PV,03LIC_1016.PV,03LIC_1034.PV,03PDI_1020.PV,03PDI_1077.PV,03PIC_1013.PV,03PIC_1023.PV,03PIC_1068.PV,03PI_1409.PV,03TIC_1009.PV,03TIC_1023.PV,03TIC_1145.PV,03TI_1002.PV,03TI_1005.PV,03TI_1015.PV,03TI_1024.PV,03TI_1081.PV,03TI_1108.PV
02FI_1000.PV,1.0000000000017133,0.333564705752747,0.23599869631262063,0.13959083314253412,0.9635135147768616,0.8818900170054867,0.39869076381752167,0.11865067970250191,0.7150147641939576,0.18682769705767682,0.20915788112869887,0.14406065317004688,0.6679585837596425,0.060845091969902426,0.06622389275872258,0.16035706898058302,0.12795118926112115,0.49916962661272934,0.1936149258661166
03FIC_1085.PV,0.333564705752747,1.0000000000012526,0.07487898801649619,0.06227862562033411,0.3949738352911791,0.2545677946165443,0.5007051774060324,0.3420230677885577,0.4150454801372672,0.32049477063513715,0.5114495641386578,0.43000286377651786,0.3273108807725381,0.3811060040332592,0.4288724948644284,0.35118185717821976,0.3659284995596042,0.5491690249634872,0.5115704449050607
03LIC_1016.PV,0.23599869631262063,0.07487898801649619,1.000000000000649,0.061473827113140755,0.22756732110546643,0.1793966005905063,0.12484543352892868,0.1292142457141635,0.22155911925498642,0.08660212262301537,0.08636451832551792,0.13945361020262365,0.11929025820058203,0.11161751183396887,0.09446400460600787,0.1233355076761937,0.12562760399947873,0.13851515576550982,0.09084208317788829
03LIC_1034.PV,0.13959083314253412,0.06227862562033411,0.061473827113140755,1.0000000000013438,0.14167330437284015,0.13452492297645047,0.07916391751493318,0.01979291669534363,0.11102843695411957,0.026940459929851147,0.03155524372874586,0.023750557273976323,0.10090782207617349,0.023844958410116714,0.013864274611502546,0.02176855715386144,0.022449373628783995,0.09331228595008657,0.03402243423248453
03PDI_1020.PV,0.9635135147768616,0.3949738352911791,0.22756732110546643,0.14167330437284015,0.9999999999958669,0.8380794224235685,0.4387791076998955,0.1547211156724867,0.7700204070099427,0.12499300121031424,0.23985227800447673,0.19865053023759066,0.6693183210721869,0.1431291853602208,0.13619465581309895,0.20130385749917085,0.16893440296949497,0.5479364607759053,0.2250255252511789
03PDI_1077.PV,0.8818900170054867,0.2545677946165443,0.1793966005905063,0.13452492297645047,0.8380794224235685,1.0000000000001719,0.3343707440438094,0.1388623836662974,0.6471173944802028,0.2825966540133005,0.189698248502239,0.154663237195812,0.5861583561947197,0.18925102570676947,0.2070499875127863,0.1595174285526418,0.13946902489499466,0.4118212901998219,0.1505937283557009
03PIC_1013.PV,0.39869076381752167,0.5007051774060324,0.12484543352892868,0.07916391751493318,0.4387791076998955,0.3343707440438094,0.9999999999998647,0.5551870515758789,0.40501258691910247,0.2621658906057374,0.5280122464886629,0.6025363508308014,0.29175339080259743,0.4061741884065228,0.4663248617600499,0.5601186116141443,0.5622990636880173,0.9054653583806239,0.5154165948960963
03PIC_1023.PV,0.11865067970250191,0.3420230677885577,0.1292142457141635,0.01979291669534363,0.1547211156724867,0.1388623836662974,0.5551870515758789,0.9999999999984933,0.16913089511260482,0.18417520819788177,0.45872550719800714,0.9365076743218193,0.1259088455901379,0.4313808118976975,0.471634927872345,0.9647802071754158,0.9651137460272702,0.6240541698058923,0.4339001012811806
03PIC_1068.PV,0.7150147641939576,0.4150454801372672,0.22155911925498642,0.11102843695411957,0.7700204070099427,0.6471173944802028,0.40501258691910247,0.16913089511260482,0.9999999998297395,0.6170785889064606,0.29115400899418015,0.2146227485717123,0.5233172287539978,0.16851298831304404,0.17529068097811296,0.19189590294759615,0.17283855800342338,0.47319685208905915,0.2917706263266026
03PI_1409.PV,0.18682769705767682,0.32049477063513715,0.08660212262301537,0.026940459929851147,0.12499300121031424,0.2825966540133005,0.2621658906057374,0.18417520819788177,0.6170785889064606,0.9999999998339728,0.29072779416962946,0.22035074001234445,0.09034667823327962,0.26665780404751094,0.2886671618857312,0.1720383129639242,0.18151413211654546,0.24746808017108685,0.27746142182748873
03TIC_1009.PV,0.20915788112869887,0.5114495641386578,0.08636451832551792,0.03155524372874586,0.23985227800447673,0.189698248502239,0.5280122464886629,0.45872550719800714,0.29115400899418015,0.29072779416962946,0.9999999999990196,0.5159020372066425,0.27041190687015326,0.538047673623088,0.5984392168249523,0.4490639077732879,0.45823626785764404,0.5533316787422314,0.9102701413752794
