,val_mae,val_rmse,test_mae,test_rmse,precision,recall,f1,far,tp,fp,tn,fn
5,0.09977977201114138,0.15727109714062598,0.13799946083727846,0.2509554452045853,0.9331662489557226,0.9420481927710843,0.9375861862221956,0.002128621983343533,7819.0,560.0,262521.0,481.0
15,0.14144142493765785,0.245419595901222,0.22825797921223046,0.40524276146257776,0.9336734693877551,0.9039759036144578,0.9185847208619001,0.002026069007986437,7503.0,533.0,262538.0,797.0
30,0.19517097163438718,0.3436957870678787,0.3177818933298222,0.534371384282403,0.9017701321366243,0.8715662650602409,0.8864109790466854,0.00299555988078584,7234.0,788.0,262268.0,1066.0
60,0.2983270173118709,0.48361362793827867,0.4412071521132551,0.6807115233668076,0.8412006157003592,0.7901204819277109,0.8148608349900597,0.004706759027624645,6558.0,1238.0,261788.0,1742.0
