Horizon,Version,MAE,RMSE,Precision,Recall,F1,FAR,TP,FP,TN,FN
5m,V1 Baseline,0.13799946083727846,0.2509554452045853,0.9331662489557226,0.9420481927710843,0.9375861862221956,0.002128621983343533,7819,560,262521,481
5m,V2 Tuned,0.1392398259220102,0.25576228251473554,0.9345380564863571,0.940843373493976,0.9376801152737753,0.0020792075444444865,7809,547,262534,491
15m,V1 Baseline,0.22825797921223046,0.40524276146257776,0.9336734693877551,0.9039759036144578,0.9185847208619001,0.002026069007986437,7503,533,262538,797
15m,V2 Tuned,0.2308033042620536,0.402674854886133,0.940582818216223,0.8983132530120482,0.9189622234547359,0.0017903911871700036,7456,471,262600,844
30m,V1 Baseline,0.3177818933298222,0.534371384282403,0.9017701321366243,0.8715662650602409,0.8864109790466854,0.00299555988078584,7234,788,262268,1066
30m,V2 Tuned,0.3176910227215448,0.5318054424922072,0.9079245283018867,0.8696385542168674,0.8883692307692308,0.002782677452709689,7218,732,262324,1082
60m,V1 Baseline,0.4412071521132551,0.6807115233668076,0.8412006157003592,0.7901204819277109,0.8148608349900597,0.004706759027624645,6558,1238,261788,1742
60m,V2 Tuned,0.44310157021671187,0.6846013320112887,0.8489303058144113,0.779277108433735,0.8126138576543753,0.004375993247815805,6468,1151,261875,1832
