Horizon,Version,F1-Score,Precision,Recall,False Alarm Rate,MAE (degC),RMSE (degC)
5 Min,First-Cut Baseline,90.78%,90.68%,90.87%,0.1255%,0.1347,0.2720
5 Min,Tuned Model,90.84%,91.01%,90.67%,0.1204%,0.1336,0.2679
15 Min,First-Cut Baseline,86.96%,88.60%,85.38%,0.1477%,0.2301,0.4202
15 Min,Tuned Model,87.05%,89.08%,85.11%,0.1403%,0.2278,0.4148
30 Min,First-Cut Baseline,84.21%,85.45%,83.01%,0.1902%,0.3126,0.5458
30 Min,Tuned Model,84.11%,85.53%,82.74%,0.1883%,0.3160,0.5437
60 Min,First-Cut Baseline,72.47%,75.47%,69.70%,0.3047%,0.4261,0.6716
60 Min,Tuned Model,72.60%,75.71%,69.73%,0.3010%,0.4241,0.6718
