,val_mae,val_rmse,test_mae,test_rmse,precision,recall,f1,far,tp,fp,tn,fn
5,0.10876278907668821,0.17679613353745227,0.13469580285666827,0.27203741040297247,0.9068493150684932,0.908716540837337,0.9077819677751114,0.0012552262637636482,2648.0,272.0,216422.0,266.0
15,0.17225573390959414,0.3058052250292872,0.23009253330385301,0.42018200299286657,0.886039886039886,0.853809196980096,0.8696260048933939,0.0014768049325284745,2488.0,320.0,216364.0,426.0
30,0.24044155214425547,0.4455155740353645,0.31263822436976446,0.5457806941284943,0.8544683857294242,0.8301304049416609,0.8421235857267189,0.0019015179836524838,2419.0,412.0,216257.0,495.0
60,0.3880809141261854,0.7101865348810968,0.4260954008330386,0.6716213656549737,0.7547380156075808,0.6969800960878517,0.7247100802854594,0.0030465428662429204,2031.0,660.0,215979.0,883.0
