,val_mae,val_rmse,test_mae,test_rmse,precision,recall,f1,far,tp,fp,tn,fn
5,0.13041323048451398,0.21494114003170395,0.14932015935656456,0.27447356777048776,0.852780456444873,0.9104323953328758,0.8806639004149378,0.002113579517660849,2653.0,458.0,216236.0,261.0
15,0.1854345512713844,0.32002633907516437,0.24520499727223627,0.4368773246091862,0.8338815789473685,0.8699382292381606,0.851528384279476,0.002330582784146499,2535.0,505.0,216179.0,379.0
30,0.26348772197918824,0.4724150133845215,0.3332836254993595,0.562653926636513,0.7963446475195822,0.8373369938229238,0.8163265306122449,0.002879968984949393,2440.0,624.0,216045.0,474.0
60,0.40468834262448866,0.7119416014068913,0.44203806605472273,0.6867146886584731,0.7317574511819116,0.733013040494166,0.7323847076975827,0.0036143076731336462,2136.0,783.0,215856.0,778.0
